2024-09-17 18:40:33,567 Epoch: [1][0/600]	Time 1.584 (1.584)	Data 0.096 (0.096)	Loss 1.8778 (1.8778)	Prec@1 14.000 (14.000)	Prec@5 48.000 (48.000)	
2024-09-17 18:40:34,343 Epoch: [1][10/600]	Time 0.048 (0.212)	Data 0.002 (0.011)	Loss 0.7287 (1.3033)	Prec@1 61.000 (37.500)	Prec@5 94.000 (71.000)	
2024-09-17 18:40:34,895 Epoch: [1][20/600]	Time 0.049 (0.136)	Data 0.002 (0.007)	Loss 0.4839 (1.0302)	Prec@1 62.000 (45.667)	Prec@5 94.000 (78.667)	
2024-09-17 18:40:35,430 Epoch: [1][30/600]	Time 0.048 (0.109)	Data 0.002 (0.005)	Loss 0.3183 (0.8522)	Prec@1 65.000 (50.500)	Prec@5 95.000 (82.750)	
2024-09-17 18:40:35,969 Epoch: [1][40/600]	Time 0.048 (0.095)	Data 0.002 (0.004)	Loss 0.1987 (0.7215)	Prec@1 80.000 (56.400)	Prec@5 99.000 (86.000)	
2024-09-17 18:40:36,671 Epoch: [1][50/600]	Time 0.063 (0.090)	Data 0.003 (0.004)	Loss 0.1779 (0.6309)	Prec@1 78.000 (60.000)	Prec@5 97.000 (87.833)	
2024-09-17 18:40:38,105 Epoch: [1][60/600]	Time 0.060 (0.098)	Data 0.002 (0.004)	Loss 0.1697 (0.5650)	Prec@1 79.000 (62.714)	Prec@5 97.000 (89.143)	
2024-09-17 18:40:38,677 Epoch: [1][70/600]	Time 0.056 (0.091)	Data 0.002 (0.004)	Loss 0.1647 (0.5150)	Prec@1 78.000 (64.625)	Prec@5 97.000 (90.125)	
2024-09-17 18:40:39,207 Epoch: [1][80/600]	Time 0.048 (0.086)	Data 0.002 (0.004)	Loss 0.1552 (0.4750)	Prec@1 82.000 (66.556)	Prec@5 98.000 (91.000)	
2024-09-17 18:40:39,742 Epoch: [1][90/600]	Time 0.049 (0.083)	Data 0.002 (0.004)	Loss 0.1294 (0.4404)	Prec@1 84.000 (68.300)	Prec@5 98.000 (91.700)	
2024-09-17 18:40:40,268 Epoch: [1][100/600]	Time 0.049 (0.079)	Data 0.002 (0.003)	Loss 0.1176 (0.4111)	Prec@1 89.000 (70.182)	Prec@5 100.000 (92.455)	
2024-09-17 18:40:40,815 Epoch: [1][110/600]	Time 0.052 (0.077)	Data 0.002 (0.003)	Loss 0.1093 (0.3859)	Prec@1 83.000 (71.250)	Prec@5 100.000 (93.083)	
2024-09-17 18:40:41,362 Epoch: [1][120/600]	Time 0.049 (0.075)	Data 0.002 (0.003)	Loss 0.1334 (0.3665)	Prec@1 82.000 (72.077)	Prec@5 96.000 (93.308)	
2024-09-17 18:40:41,907 Epoch: [1][130/600]	Time 0.052 (0.073)	Data 0.002 (0.003)	Loss 0.1273 (0.3494)	Prec@1 86.000 (73.071)	Prec@5 96.000 (93.500)	
2024-09-17 18:40:42,439 Epoch: [1][140/600]	Time 0.048 (0.072)	Data 0.002 (0.003)	Loss 0.0952 (0.3325)	Prec@1 91.000 (74.267)	Prec@5 99.000 (93.867)	
2024-09-17 18:40:42,980 Epoch: [1][150/600]	Time 0.048 (0.070)	Data 0.002 (0.003)	Loss 0.1249 (0.3195)	Prec@1 82.000 (74.750)	Prec@5 96.000 (94.000)	
2024-09-17 18:40:43,538 Epoch: [1][160/600]	Time 0.059 (0.069)	Data 0.002 (0.003)	Loss 0.1313 (0.3084)	Prec@1 82.000 (75.176)	Prec@5 96.000 (94.118)	
2024-09-17 18:40:44,083 Epoch: [1][170/600]	Time 0.054 (0.068)	Data 0.002 (0.003)	Loss 0.1160 (0.2977)	Prec@1 82.000 (75.556)	Prec@5 99.000 (94.389)	
2024-09-17 18:40:44,650 Epoch: [1][180/600]	Time 0.057 (0.067)	Data 0.002 (0.003)	Loss 0.1087 (0.2878)	Prec@1 85.000 (76.053)	Prec@5 97.000 (94.526)	
2024-09-17 18:40:45,241 Epoch: [1][190/600]	Time 0.067 (0.067)	Data 0.003 (0.003)	Loss 0.0943 (0.2781)	Prec@1 90.000 (76.750)	Prec@5 98.000 (94.700)	
2024-09-17 18:40:46,106 Epoch: [1][200/600]	Time 0.108 (0.068)	Data 0.003 (0.003)	Loss 0.0879 (0.2691)	Prec@1 88.000 (77.286)	Prec@5 100.000 (94.952)	
2024-09-17 18:40:47,220 Epoch: [1][210/600]	Time 0.056 (0.070)	Data 0.002 (0.003)	Loss 0.0853 (0.2607)	Prec@1 85.000 (77.636)	Prec@5 100.000 (95.182)	
2024-09-17 18:40:47,824 Epoch: [1][220/600]	Time 0.054 (0.069)	Data 0.002 (0.003)	Loss 0.0993 (0.2537)	Prec@1 84.000 (77.913)	Prec@5 97.000 (95.261)	
2024-09-17 18:40:48,413 Epoch: [1][230/600]	Time 0.053 (0.069)	Data 0.002 (0.003)	Loss 0.0800 (0.2464)	Prec@1 91.000 (78.458)	Prec@5 100.000 (95.458)	
2024-09-17 18:40:48,985 Epoch: [1][240/600]	Time 0.054 (0.068)	Data 0.002 (0.003)	Loss 0.0956 (0.2404)	Prec@1 86.000 (78.760)	Prec@5 98.000 (95.560)	
2024-09-17 18:40:49,523 Epoch: [1][250/600]	Time 0.048 (0.067)	Data 0.002 (0.003)	Loss 0.0925 (0.2347)	Prec@1 88.000 (79.115)	Prec@5 99.000 (95.692)	
2024-09-17 18:40:50,120 Epoch: [1][260/600]	Time 0.060 (0.067)	Data 0.002 (0.003)	Loss 0.0822 (0.2291)	Prec@1 89.000 (79.481)	Prec@5 99.000 (95.815)	
2024-09-17 18:40:50,680 Epoch: [1][270/600]	Time 0.051 (0.066)	Data 0.002 (0.003)	Loss 0.0931 (0.2242)	Prec@1 85.000 (79.679)	Prec@5 100.000 (95.964)	
2024-09-17 18:40:51,381 Epoch: [1][280/600]	Time 0.123 (0.067)	Data 0.003 (0.003)	Loss 0.0602 (0.2186)	Prec@1 93.000 (80.138)	Prec@5 100.000 (96.103)	
2024-09-17 18:40:52,666 Epoch: [1][290/600]	Time 0.061 (0.069)	Data 0.002 (0.003)	Loss 0.0865 (0.2142)	Prec@1 89.000 (80.433)	Prec@5 98.000 (96.167)	
2024-09-17 18:40:53,310 Epoch: [1][300/600]	Time 0.062 (0.068)	Data 0.002 (0.003)	Loss 0.0772 (0.2097)	Prec@1 88.000 (80.677)	Prec@5 100.000 (96.290)	
2024-09-17 18:40:53,934 Epoch: [1][310/600]	Time 0.053 (0.068)	Data 0.002 (0.003)	Loss 0.0716 (0.2054)	Prec@1 92.000 (81.031)	Prec@5 100.000 (96.406)	
2024-09-17 18:40:54,583 Epoch: [1][320/600]	Time 0.070 (0.068)	Data 0.002 (0.003)	Loss 0.0685 (0.2013)	Prec@1 90.000 (81.303)	Prec@5 99.000 (96.485)	
2024-09-17 18:40:55,177 Epoch: [1][330/600]	Time 0.057 (0.068)	Data 0.002 (0.003)	Loss 0.0742 (0.1975)	Prec@1 93.000 (81.647)	Prec@5 98.000 (96.529)	
2024-09-17 18:40:55,801 Epoch: [1][340/600]	Time 0.066 (0.067)	Data 0.003 (0.003)	Loss 0.0691 (0.1939)	Prec@1 89.000 (81.857)	Prec@5 99.000 (96.600)	
2024-09-17 18:40:56,439 Epoch: [1][350/600]	Time 0.071 (0.067)	Data 0.004 (0.003)	Loss 0.0772 (0.1906)	Prec@1 88.000 (82.028)	Prec@5 99.000 (96.667)	
2024-09-17 18:40:57,072 Epoch: [1][360/600]	Time 0.073 (0.067)	Data 0.002 (0.003)	Loss 0.0873 (0.1878)	Prec@1 88.000 (82.189)	Prec@5 98.000 (96.703)	
2024-09-17 18:40:57,714 Epoch: [1][370/600]	Time 0.048 (0.067)	Data 0.002 (0.003)	Loss 0.0742 (0.1848)	Prec@1 89.000 (82.368)	Prec@5 100.000 (96.789)	
2024-09-17 18:40:58,316 Epoch: [1][380/600]	Time 0.048 (0.067)	Data 0.002 (0.003)	Loss 0.0555 (0.1815)	Prec@1 92.000 (82.615)	Prec@5 100.000 (96.872)	
2024-09-17 18:40:58,928 Epoch: [1][390/600]	Time 0.053 (0.066)	Data 0.002 (0.003)	Loss 0.0542 (0.1783)	Prec@1 91.000 (82.825)	Prec@5 100.000 (96.950)	
2024-09-17 18:40:59,475 Epoch: [1][400/600]	Time 0.055 (0.066)	Data 0.002 (0.003)	Loss 0.0738 (0.1758)	Prec@1 88.000 (82.951)	Prec@5 99.000 (97.000)	
2024-09-17 18:41:00,049 Epoch: [1][410/600]	Time 0.064 (0.066)	Data 0.003 (0.003)	Loss 0.0843 (0.1736)	Prec@1 90.000 (83.119)	Prec@5 97.000 (97.000)	
2024-09-17 18:41:00,714 Epoch: [1][420/600]	Time 0.067 (0.066)	Data 0.003 (0.003)	Loss 0.0790 (0.1714)	Prec@1 90.000 (83.279)	Prec@5 99.000 (97.047)	
2024-09-17 18:41:01,309 Epoch: [1][430/600]	Time 0.049 (0.065)	Data 0.002 (0.003)	Loss 0.0765 (0.1693)	Prec@1 90.000 (83.432)	Prec@5 100.000 (97.114)	
2024-09-17 18:41:01,870 Epoch: [1][440/600]	Time 0.058 (0.065)	Data 0.002 (0.003)	Loss 0.0853 (0.1674)	Prec@1 86.000 (83.489)	Prec@5 100.000 (97.178)	
2024-09-17 18:41:02,442 Epoch: [1][450/600]	Time 0.056 (0.065)	Data 0.002 (0.003)	Loss 0.0904 (0.1657)	Prec@1 86.000 (83.543)	Prec@5 97.000 (97.174)	
2024-09-17 18:41:02,989 Epoch: [1][460/600]	Time 0.051 (0.065)	Data 0.002 (0.003)	Loss 0.0643 (0.1636)	Prec@1 91.000 (83.702)	Prec@5 100.000 (97.234)	
